Date,Price,Open,High,Low,Vol,Change %
12/31/2024,"93,557.20","92,777.20","96,163.40","92,036.20",74.85K,0.84%
12/30/2024,"92,779.80","93,718.70","94,936.40","91,522.30",112.43K,-1.00%
12/29/2024,"93,716.30","95,282.60","95,315.40","93,026.70",47.71K,-1.65%
12/28/2024,"95,284.50","94,274.90","95,684.30","94,124.70",32.97K,1.07%
12/27/2024,"94,275.90","95,776.40","97,243.30","93,472.80",85.12K,-1.57%
12/26/2024,"95,777.70","99,389.40","99,922.50","95,193.30",74.60K,-3.64%
12/25/2024,"99,391.30","98,661.90","99,514.10","97,651.90",39.80K,0.73%
12/24/2024,"98,668.10","94,852.80","99,446.60","93,566.20",69.86K,4.02%
12/23/2024,"94,852.10","95,184.80","96,517.80","92,543.20",133.24K,-0.35%
12/22/2024,"95,183.80","97,281.60","97,422.20","94,265.20",100.64K,-2.13%
12/21/2024,"97,253.30","97,799.10","99,531.90","96,478.60",123.36K,-0.55%
12/20/2024,"97,795.70","97,468.30","98,178.20","92,301.90",221.18K,0.34%
12/19/2024,"97,466.10","100,190.50","102,778.80","95,672.20",200.57K,-2.73%
12/18/2024,"100,197.80","106,140.70","106,477.60","100,049.30",187.49K,-5.60%
12/17/2024,"106,138.90","106,053.40","108,244.90","105,350.60",149.37K,0.08%
12/16/2024,"106,057.60","104,479.20","107,767.60","103,351.70",232.66K,1.55%
12/15/2024,"104,443.00","101,417.90","105,120.90","101,234.90",133.99K,2.98%
12/14/2024,"101,417.70","101,423.70","102,633.00","100,626.30",105.31K,-0.01%
12/13/2024,"101,426.20","100,008.30","101,891.20","99,214.20",162.40K,1.42%
12/12/2024,"100,009.90","101,126.30","102,495.30","99,334.50",188.96K,-1.10%
12/11/2024,"101,126.20","96,603.20","101,877.10","95,689.50",250.02K,4.69%
12/10/2024,"96,600.30","97,311.50","98,237.80","94,304.50",271.45K,-0.78%
12/9/2024,"97,359.40","101,129.70","101,198.60","94,395.80",321.01K,-3.72%
12/8/2024,"101,115.80","99,837.00","101,339.90","98,713.90",128.93K,1.28%
12/7/2024,"99,837.00","99,757.20","100,441.80","98,969.00",118.44K,0.08%
12/6/2024,"99,760.70","96,968.90","101,908.50","96,452.00",213.49K,2.88%
12/5/2024,"96,970.80","98,624.80","103,719.40","92,510.40",245.79K,-1.69%
12/4/2024,"98,635.80","95,900.10","99,030.70","94,625.30",113.77K,2.85%
12/3/2024,"95,898.70","95,843.90","96,245.00","93,646.10",95.08K,0.05%
12/2/2024,"95,846.60","97,199.30","98,082.00","94,510.60",95.80K,-1.39%
12/1/2024,"97,201.40","96,404.70","97,813.90","95,721.80",42.90K,0.83%
11/30/2024,"96,405.70","97,438.50","97,461.90","96,119.60",36.92K,-1.06%
11/29/2024,"97,438.00","95,645.60","98,599.80","95,405.70",76.54K,1.87%
11/28/2024,"95,645.50","95,881.40","96,549.00","94,648.80",68.17K,-0.25%
11/27/2024,"95,886.60","91,975.50","97,219.80","91,795.50",106.39K,4.25%
11/26/2024,"91,977.60","93,046.50","94,978.80","90,817.20",131.88K,-1.17%
11/25/2024,"93,064.40","97,948.80","98,872.40","92,875.30",124.98K,-4.97%
11/24/2024,"97,935.20","97,696.40","98,552.60","95,765.40",77.04K,0.24%
11/23/2024,"97,699.00","98,927.20","98,927.20","97,180.90",72.17K,-1.24%
11/22/2024,"98,929.70","98,381.20","99,617.40","97,182.20",132.23K,0.56%
11/21/2024,"98,374.50","94,308.70","98,937.20","94,063.80",179.07K,4.32%
11/20/2024,"94,303.90","92,252.60","94,836.10","91,517.40",121.46K,2.24%
11/19/2024,"92,239.20","90,482.10","93,918.50","90,378.70",146.04K,1.95%
11/18/2024,"90,478.70","89,843.30","92,567.10","89,410.40",150.47K,0.72%
11/17/2024,"89,833.70","90,569.40","91,441.60","88,736.10",81.24K,-0.78%
11/16/2024,"90,539.10","91,035.30","91,748.90","90,079.00",79.82K,-0.56%
11/15/2024,"91,046.50","87,297.20","91,833.10","87,118.80",158.19K,4.30%
11/14/2024,"87,294.00","90,424.80","91,726.70","86,740.20",153.34K,-3.46%
11/13/2024,"90,422.20","87,971.20","93,226.60","86,168.40",257.57K,2.82%
11/12/2024,"87,941.30","88,665.00","89,929.60","85,122.20",288.68K,-0.82%
