Date,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,GBTC,BTC,Total
16-Oct-24,393.4,14.8,12.9,11.5,6.4,11.8,1.9,5.8,0,0,0,458.5
17-Oct-24,309,11.7,0,100.2,0,3.9,0,0,0,45.7,0,470.5
18-Oct-24,70.4,18,36,109.9,16.1,0,0,23.3,0,0,0,273.7
21-Oct-24,329,5.9,-22.1,-6.1,0,0,0,-7.6,0,-4.8,0,294.3
22-Oct-24,43,8.8,0,-134.7,0,0,0,3.8,0,0,0,-79.1
23-Oct-24,317.5,0,-25.2,-99,0,0,0,-5.6,0,0,4.7,192.4
24-Oct-24,165.5,0,29.6,0,0,0,0,0,0,-7.1,0,188
25-Oct-24,292,56.9,2.5,33.4,0,0,0,11.3,0,0,5.9,402
28-Oct-24,315.2,44.1,38.7,59.8,0,0,0,0,0,0,21.6,479.4
29-Oct-24,642.9,133.9,52.5,12.4,0,0,0,16.5,0,-17.3,29.2,870.1
30-Oct-24,872,12.6,-23.9,7.2,7.2,0,6.1,4.1,0,0,8,893.3
31-Oct-24,318.8,-75.2,-74,-94.2,0,0,1.9,-13.9,0,-31.1,0,32.3
1-Nov-24,0,-25.6,-5.6,-24.1,0,0,-1.7,-5.9,0,-5.5,13.5,-54.9
4-Nov-24,38.4,-169.6,-79.8,-138.3,0,-17.6,-5.7,-15.3,0,-63.7,-89.5,-541.1
5-Nov-24,-44.2,-68.2,19.3,-12.5,0,-6,-1.3,-3.9,0,0,0,-116.8
6-Nov-24,-69.1,308.8,100.9,127,0,0,-2.6,17.2,0,30.9,108.8,621.9
7-Nov-24,"1,119.90",190.9,13.4,17.6,0,0,0,4.3,0,7.3,20.4,"1,373.80"
8-Nov-24,206.1,33.5,23,0,0,17.8,0,13,0,0,0,293.4
11-Nov-24,756.5,135.1,42.7,108.6,8.7,10.1,0,0,0,24.2,28.2,"1,114.10"
12-Nov-24,778.3,37.2,0,-5.4,0,0,0,10.1,0,-17.8,15.1,817.5
13-Nov-24,230.8,186.1,12.3,14.5,0,0,0,5.1,0,0,61.3,510.1
14-Nov-24,126.5,-179.2,-113.9,-161.7,0,0,0,2.5,0,-69.6,-5.3,-400.7
15-Nov-24,0,-175.1,-7.4,-108.6,0,0,-1.7,-7.7,0,-22.5,-47,-370
18-Nov-24,89.3,60,24.4,13.2,0,0,0,7.7,0,5.8,54.4,254.8
19-Nov-24,216.1,256.1,52.8,267.3,0,0,0,7.9,0,16.2,13.1,829.5
20-Nov-24,626.5,133.9,9.2,3.8,0,0,0,0,0,0,-,773.4
21-Nov-24,608.4,301,68,17.2,0,5.7,0,5.6,0,-7.8,7,"1,005.10"
22-Nov-24,513.2,21.7,0,0,5,0,6.2,5.6,0,-67.1,5.7,490.3
25-Nov-24,267.8,-134.7,-280.7,-110.9,-10.9,0,0,-8.1,0,-158.2,0.4,-435.3
26-Nov-24,0,-95.7,6.5,0,-2.3,0,0,0,0,-36.1,4.8,-122.8
27-Nov-24,0,40.2,48,0,0,2.8,0,0,0,0,12,103
28-Nov-24,-,-,-,-,-,-,-,-,-,-,-,0
29-Nov-24,137.5,106.5,26.5,7.8,0,0,0,33.1,0,0,8.6,320
2-Dec-24,338.3,25.1,0,17.2,0,5.6,0,-10.9,0,-28.1,6.4,353.6
3-Dec-24,693.3,52.2,7.8,-93.5,0,0,0,16.2,0,0,0,676
4-Dec-24,571.7,17.3,6.4,0,0,0,0,0,0,-94.3,55.7,556.8
5-Dec-24,770.5,47.5,-10.2,12.3,0,0,0,0,0,-148.8,95.4,766.7
6-Dec-24,257,120.2,0,24.9,0,0,0,0,0,-32.3,6.8,376.6
9-Dec-24,394.1,175.5,-39,-34.3,0,0,0,0,0,-24.4,7.2,479.1
10-Dec-24,295.6,210.5,0,5.8,-11.6,0,0,-5.4,0,-62.8,6.4,438.5
11-Dec-24,0,121.9,12.2,52.7,0,0,-2.4,2.9,0,20.1,15.7,223.1
12-Dec-24,431.6,30.5,61.4,9,0,0,0,0,2.6,-48.4,110.8,597.5
13-Dec-24,393,60,33.2,28.4,0,0,0,8.6,7,-105.8,4.5,428.9
16-Dec-24,418.2,116.1,30.7,47.7,0,0,0,0,0,17.6,6.6,636.9
17-Dec-24,741.4,-128.2,-24.4,-17,0,0,0,3,0,-84.7,3.8,493.9
18-Dec-24,359.6,0,-16.6,-6.6,-25.2,0,0,0,0,-35.9,0,275.3
19-Dec-24,0,-208.5,-43.6,-108.4,-26,0,0,-10.9,2,-87.9,-188.6,-671.9
20-Dec-24,-72.7,-71.9,0,-87,0,5.6,0,0,0,-57.4,6.4,-277
23-Dec-24,31.7,-146,-23.7,-15.7,-25.6,0,0,-2.6,0,-38.4,-6.2,-226.5
24-Dec-24,-188.7,-83.2,8.5,-75,0,0,0,0,0,0,0,-338.4
25-Dec-24,-,-,-,-,-,-,-,-,-,-,-,0
26-Dec-24,56.5,254.4,-8.3,186.9,0,0,0,2.7,0,-24.2,7.2,475.2
27-Dec-24,79.4,-208.2,-36,-112.6,-14.2,0,0,0,0,3.7,0,-287.9
30-Dec-24,-36.5,-154.6,-31.4,-26.4,0,0,0,0,0,-134.5,-31.7,-415.1
31-Dec-24,-23.5,36.8,8.7,-11.2,0,0,0,0,0,-9.6,4.1,5.3
